,Unnamed: 0,text,keys,BIO_tag
0,0,"Several inorganic flocculating agents, including FeSO4, Al2(SO4)3, FeCl3 and an organic coagulant aid PAM, were used to treat the wastewater from domestic anima and poultry breeding in this paper. The ideal operating conditions were attained by single factor experiment and orthogonal design experiment. And the ideal operating conditions are follows: the dose of FeSO4 and PAM is 135.2mg/L and 0.384mg/L respectively when keeping the pH 10; and the corresponding removal rate is 55% and 60% for COD and turbidity. Based on the experimental results, this paper analyzes the main factors that affect wastewater flocculation treatment.","['Al2(SO4)3,', 'analyzes the main factors', 'COD', 'FeCl3', 'FeSO4', 'inorganic flocculating agents', 'organic coagulant aid', 'orthogonal design experiment', 'PAM', 'removal rate', 'single factor experiment', 'treat the wastewater', 'wastewater flocculation', 'wastewater flocculation treatment']",O B I O O B B B O O B I O B O O O B I B O O O O O O O O O O O O O O O O B I O O B I O O O O O O O O O B O B O O O O O O O O O O O B O O O O O O B O O O O O O O O B I O O O B I O
1,1,"Video-oculography (VOG) is one of eye movement measurement methods. A key problem of VOG is to accurately estimate the pupil center. Then a pupil location method based on morphology and Canny algorithm was proposed for a WIFI-based VOG system which was developed our latest work. Moreover, a healthy volunteer was introduced to do sinusoidal tracking test to evaluate the pupil location method. Experimental results showed that the method could well trace eye movement and meet the anticipated results with stimulation.","['accurately estimate the pupil center', 'Canny algorithm', 'evaluate the pupil location method', 'eye movement measurement', 'eye movement measurement methods', 'healthy volunteer', 'morphology', 'pupil location method', 'sinusoidal tracking test', 'stimulation', 'trace eye movement', 'Video-oculography', 'VOG', 'WIFI-based VOG system']",B O O O O B I O O O O O B O O B I B O O O B I O O O B O B O O O O O B B O O O O O O O O O B O O O O O B I O O B I B I O O O O O O O O B B I O O O O O O
2,2,"The first-principles calculations are performed using the Cambridge Serial Total Energy Package (CASTEP) [21] which implements the plane-wave pseudopotential DFT method. The exchange correlation functional is approximated using the generalized gradient approximation (PBE-GGA) [22], and the electron–ion interactions are described by Vanderbilt-type ultrasoft pseudopotentials [23]. The plane wave basis set is truncated at a cutoff of 400eV, and the Brillouin-zone sampling was performed using the Monkhorst-Pack scheme with a k-point spacing in reciprocal space of 0.04Å−1. Tests show that these computational parameters give results that are sufficiently accurate for present purposes. The ferromagnetism of nickel is accounted for by performing all calculations using spin polarization, starting at a ferromagnetic initial configuration and relaxing towards its ground state. However, for all compositions considered, the ground state electronic structure of each alloy is found to exhibit only very weak ferromagnetism, and the effect is not thought to influence their phase stability. Table 1 shows the calculated equilibrium lattice constants of the η phase at various Ti concentrations, using partially ordered ηP structures. The change in lattice constant upon Ti alloying is relatively small, but can be related to the ∼10% larger covalent radius of Ti. The calculated lattice constants are in good agreement with the experimental values, which relate to an alloy with a Al/Ti ratio of ∼2.75.
","['Al', 'alloy', 'Brillouin-zone sampling', 'Cambridge Serial Total Energy Package', 'CASTEP', 'electron', 'electron–ion interactions', 'exchange correlation functional', 'ferromagnetism', 'first-principles calculations', 'generalized gradient approximation', 'ion', 'k-point spacing', 'Monkhorst-Pack scheme', 'nickel', 'PBE-GGA', 'plane wave', 'plane-wave pseudopotential DFT method', 'spin polarization', 'Ti', 'Ti alloying', 'Vanderbilt-type ultrasoft pseudopotentials', 'ηP structures']",O B O O O O O B I O O O O O O B I O O B I O O O O O B I O O O O O B O O O O B I O O O B O O O O O O O O O O O O B O O O O O B O O O B O O O O O O O O O O O O O O O O O O O O O O B O B O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O B O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O
3,3,"Microhardness can be related to other macroscopic mechanical properties such as yield stress, σ, and elastic modulus, E, both derived from compression testing. For work-hardened metals, Tabor derived a direct proportionality between hardness and compressive yield stress: H≈3σ [20]. However, it was soon realized that Tabor's relationship only applies to materials that exhibit full plasticity [9,10]. Deviations from this relationship have been reported for a number of metals, glasses and polymers where the elastic strains are non-negligible [9]. Hence, the different expressions describing the correlation of hardness with conventional macroscopic mechanical properties rely on the validity of the above-mentioned elasto-plastic models. In this way, hardness and yield stress no longer hold direct proportionality but their relationship depends on the specific material properties, such as Poisson's ratio and elastic modulus [9,11–13]. It has been shown that these elasto-plastic models not only satisfactorily explain an H/σ ratio of ≈2 for a number of polyethylene materials of different nature, but also theoretically account for the range of H/E ratios experimentally determined [21].
","['compression testing', 'derived a direct proportionality', 'Deviations from this relationship', 'glasses', 'hold direct proportionality but their relationship', 'materials that exhibit full plasticity', 'Microhardness', 'polyethylene materials', 'polymers where the elastic strains', 'specific material properties,', 'the different expressions describing the correlation of hardness with conventional macroscopic mechanical properties', 'work-hardened metals']",B O O O O O O O O O O O O O O B I B O O B O O B I O O O O O O O O O O O O O O O O O B I O O B I O O O O O O O B O B I B I O O O O O B I B I O O B O B O O O O O O O O O O B I O O O B B I O O O O O O O O O O O O O O O O O O O O O O O O B B I O O O O O B O O O O O O
4,4,"We consider finite-time, future (sudden or Big Rip type) singularities which may occur even when strong energy condition is not violated but equation of state parameter is time-dependent. Recently, example of such singularity has been presented by Barrow, we found another example of it. Taking into account back reaction of conformal quantum fields near singularity, it is shown explicitly that quantum effects may delay (or make milder) the singularity. It is argued that if the evolution to singularity is realistic, due to quantum effects the universe may end up in de Sitter phase before scale factor blows up. This picture is generalized for braneworld where sudden singularity may occur on the brane with qualitatively similar conclusions.","['back reaction of conformal quantum fields near singularity', 'brane', 'braneworld', 'evolution to singularity', 'example of such singularity', 'finite-time, future (sudden or Big Rip type) singularities', 'qualitatively similar conclusions', 'quantum effects', 'scale factor blows up', 'singularity', 'strong energy condition', 'sudden singularity', 'the universe may end up in de Sitter phase', 'we found another example of it']",O O B B I O O O O O B I O O O O O O O O O O O B I B O O O O O B I B I O O O O B I B I B O O O O O B O O O O O B O O O O O O B B I B O O O B O B I O O B I O O O O O O B O B B I O O B B O B I O
5,5,"Nuclear theory devoted major efforts since 4 decades to describe thermalization in nuclear reactions, predominantly using semi-classical methods  [13,14,10], in line with similar problems in quantum liquids  [15,16]. There were attempts to develop improved molecular dynamics methods combining quantum features with a semi classical treatment of dynamical correlations  [17,18]. Still, no clear-cut quantum approach is readily available yet, in spite of numerous formal attempts [19,20,10]. The field of clusters and nano structures is far younger but fast developing in relation to the ongoing developments of lasers and imaging techniques. Semiclassical approaches were also considered in the field to include some dynamical corrections  [21,22] and could qualitatively describe dynamical processes. But such approaches are bound to simple metals with sufficiently delocalized wave functions, and thus smooth potentials justifying semiclassical approximations. The case of organic systems, in particular the much celebrated C60   [4,23], cannot be treated this way. Semi classical, and even classical approaches, can be used at very high excitations such as delivered by very intense laser pulses  [2]. In such cases the system is blown up and details of its quantum mechanical features do not matter anymore. But for less violent scenarios, quantum shell effects cannot be ignored.
","['C60', 'combining quantum features', 'field of clusters and nano structures', 'imaging techniques', 'improved molecular dynamics methods', 'lasers', 'nuclear reactions', 'Nuclear theory', 'organic systems', 'qualitatively describe dynamical processes.', 'quantum approach', 'quantum liquids', 'quantum mechanical features', 'quantum shell effects', 'semi-classical methods', 'semi classical treatment of dynamical correlations', 'simple metals', 'simple metals with sufficiently delocalized wave functions', 'thermalization', 'very intense laser pulses']",B O O O O O O O O B O B O O O B O O O O O O O B O O O O O O O B I O B B O O B I O O O O O B O O O O O O O O O O O O B I O O O O O O O O O O O O O B I B O O O O O O O O B O O O O O O B I O O O O O O O B I O O O O O O O O O B O O O O O O B O O O O O O O O O O O O O B O O O O O O B I O O O O O O O O O O O O B I O O O O O O O O O O B I O O O O
6,6,"We use open and close aperture Z-scan experiments, in analogy to the saturation absorption work discussed earlier in water [8], to respectively measure the β and n2 for a series of primary alcohols with the help of 1560nm femtosecond laser pulses, however, with the important inclusion of an optical-chopper. The vibrational combination states of the alcohols are coupled by the femtosecond laser pulses at 1560nm. These couplings result in the absorption of 1560nm and the excited molecules undergo relaxation through non-radiative processes, which gives rise to transient thermal effects. These transient thermal effects are related to the pure optical nonlinearity of the samples and can be measured as a change in their n2 values [14]. The transient thermal effects of individual pulses accumulate in case of high repetition-rate lasers to produce a cumulative thermal effect at longer timescales. We measure this cumulative thermal effect with the mode-mismatched two-color pump–probe experiment.
","['1560nm femtosecond laser pulses', 'absorption', 'alcohols', 'aperture Z-scan experiments', 'cumulative thermal effect', 'femtosecond laser pulses at 1560nm', 'high repetition-rate lasers', 'measure this cumulative thermal effect', 'mode-mismatched two-color pump–probe experiment', 'molecules', 'non-radiative processes', 'optical-chopper', 'primary alcohols', 'pure optical nonlinearity', 'saturation absorption', 'transient thermal effects', 'vibrational combination states', 'water']",O O O O O B I O O O O O B B O O O O B O O O B O O O O O O O O B B O O O O B B I O O O O O O O O O B I O O O B O O O O B I O O O O O O B O B O O O B O O O B O O O O O B I O O B I O O O O O B I O O O O O O O O O O O O O O O O O B I O O O O O O O B I O O O O B I O O O O B I B I O O O B I O
7,7,"The systems in which the Stern–Gerlach force is most prominent are those with a high electromagnetic field gradient. Section 2 considers the implications of the coupling between the spin of a classical electron and the rapidly varying electromagnetic field produced by a laser-driven plasma wave. Sufficiently short, high-intensity laser pulses can form longitudinal waves within the electron density of a plasma. These density waves propagate with speed comparable to the group speed of the laser pulse. Not all plasma electrons form this wave, however; some of the electrons are caught up in the wave and accelerated by its high fields. The wave eventually collapses as these electrons damp the wave (the wave ‘breaks’). The extremely high electric field gradient of a plasma wave near wavebreaking provides an excellent theoretical testing ground for the effects of Stern–Gerlach-type contributions to the trajectory of a test electron.
","['density waves', 'electromagnetic field', 'electromagnetic field gradient', 'electron', 'electrons', 'electrons damp the wave', 'high electric field gradient of a plasma wave', 'high-intensity laser pulses', 'laser', 'laser-driven plasma wave', 'laser pulse', 'longitudinal waves', 'plasma', 'plasma electrons', 'Stern–Gerlach force', 'Stern–Gerlach-type contributions', 'wave ‘breaks’']",O O O O B O O O O O O O B B I O O O O O O O O O B O O O B I O O B B O O O B B O O O B O O B B I O O B O O O O O O O O B O O O B B O O B O O B O O O O B O O O O B O O B O O O O B I B O B O O O B I B B O O O O O O O O O O B O O O O O
8,8,"In summary, we have developed a technique for site-specific nanowire size reduction by FIB thinning. Transmission electron microscope images of a thinned tungsten composite nanowire with width reduced from 80 to 20nm show uniform shrinking along the length of the wire and high resolution images show no obvious changes of the morphology after thinning. The critical current density of the as-deposited wire and one thinned to a width of 50nm is 1.7×105 and 1.4×105A/cm2 at 4.26K, respectively, suggesting insignificant modulation of the electrical properties during thinning. These results suggest that FIB-milling is a potential approach for controllable size reduction with high resolution towards the observation of size- and quantum effects, as well as for construction of 3D superconducting nanodevices.
","['3D superconducting nanodevices', 'as-deposited wire', 'construction of 3D superconducting nanodevices', 'controllable size reduction with high resolution towards the observation of size- and quantum effects', 'FIB-milling', 'FIB thinning', 'high resolution images', 'modulation of the electrical properties', 'site-specific nanowire size reduction', 'thinned tungsten composite nanowire', 'thinning', 'Transmission electron microscope images', 'uniform shrinking', 'wire']",O O O O O O O O B I O B O B I O O B I O O O O O O O B O O O B I B I O O O O O O O O O O O O B B I O B O O O O O O O O O O O O B I O O O O O O O B O O O O O B I B I O O O O O B I B I O
9,9,"Under these experimental conditions, the observed dynamics has to occur where the probe laser induces the reactions resulting in further ionization [30]. The two-step decay model [26] was applied to explain the above-mentioned fragmentation of DCPD to CPD, shown in Figure 8a. The fitting of the rise and decay components of the transients were done by Matlab® programming using the curve fitting Levenberg–Marquardt algorithm. The best fit decay constants for the biexponential decay components of C10H12+ ion signal is τ1=35fs and τ2=240fs, while that for C5H6+ ion signal is τ1=36fs and τ2=280fs, respectively. These decay constants conform to the previously reported time constants of norbornene and norbornadiene [22,23]. The transients of the reaction fragment C5H6+ are sufficiently different from that of the parent ion C10H12+ indicating that we are studying the distinct dynamics of the neutrals and not that of the parent ion fragmentation [24]. Applying laser control principles under such experimental circumstances also confirms that we are controlling the product yield of C5H6+, resulting from the photochemical reaction of DCPD.
","['Applying laser control principles', 'best fit decay constants', 'biexponential decay components', 'C10H12+', 'C10H12+ ion signal', 'C5H6+', 'C5H6+ ion signal', 'controlling the product yield of C5H6+', 'CPD', 'curve fitting Levenberg–Marquardt algorithm', 'DCPD', 'decay constants', 'distinct dynamics of the neutrals', 'fragmentation of DCPD to CPD', 'further ionization', 'laser control principles', 'Matlab® programming', 'norbornadiene', 'norbornene', 'observed dynamics', 'parent ion', 'parent ion fragmentation', 'photochemical reaction of DCPD', 'probe laser', 'reactions', 'rise and decay components', 'transients', 'two-step decay model', 'τ1=35fs', 'τ1=36fs', 'τ2=240fs', 'τ2=280fs']",O O O O B I O O O B B O B O O B O O O B B O O O O O O B I B I B O O O O O B I B O B O O O B O O B I O O B I B O O B B O B I O O B I B O O O B I O O B I B O O B O O O O O O B I B O O B I O B O O O O O B I B O O O O O B I O O O B I B O B B I O O O O O O O O O O B I B O O B I O
