,Unnamed: 0,text,keywords,BIO_tag
0,0,several inorganic flocculating agents including feso4 fecl3 and an organic coagulant aid pam were used to treat the wastewater from domestic anima and poultry breeding in this paper the ideal operating conditions were attained by single factor experiment and orthogonal design experiment and the ideal operating conditions are follows the dose of feso4 and pam is and respectively when keeping the ph 10 and the corresponding removal rate is and for cod and turbidity based on the experimental results this paper analyzes the main factors that affect wastewater flocculation treatment ,"['Al2(SO4)3,', 'analyzes the main factors', 'COD', 'FeCl3', 'FeSO4', 'inorganic flocculating agents', 'organic coagulant aid', 'orthogonal design experiment', 'PAM', 'removal rate', 'single factor experiment', 'treat the wastewater', 'wastewater flocculation', 'wastewater flocculation treatment']",O B I I O B B O O B I I B O O O B I I O O O O O O O O O O O O O O O O B I I O B I I O O O O O O O O O O O O O O O O O O O O O O O O B I O O O B O O O O O O O O O B I I I O O B I O 
1,1,video oculography is one of eye movement measurement methods key problem of vog is to accurately estimate the pupil center then pupil location method based on morphology and canny algorithm was proposed for wifi based vog system which was developed our latest work moreover healthy volunteer was introduced to do sinusoidal tracking test to evaluate the pupil location method experimental results showed that the method could well trace eye movement and meet the anticipated results with stimulation ,"['accurately estimate the pupil center', 'Canny algorithm', 'evaluate the pupil location method', 'eye movement measurement', 'eye movement measurement methods', 'healthy volunteer', 'morphology', 'pupil location method', 'sinusoidal tracking test', 'stimulation', 'trace eye movement', 'Video-oculography', 'VOG', 'WIFI-based VOG system']",B I O O O B I I O O O O B O O B I I I I O B I I O O B O B I O O O B I I I O O O O O O O B I O O O O B I I O B I I I I O O O O O O O O B I I O O O O O O B 
2,2,the first principles calculations are performed using the cambridge serial total energy package which implements the plane wave pseudopotential dft method the exchange correlation functional is approximated using the generalized gradient approximation and the electron ion interactions are described by vanderbilt type ultrasoft pseudopotentials the plane wave basis set is truncated at cutoff of 400ev and the brillouin zone sampling was performed using the monkhorst pack scheme with point spacing in reciprocal space of tests show that these computational parameters give results that are sufficiently accurate for present purposes the ferromagnetism of nickel is accounted for by performing all calculations using spin polarization starting at ferromagnetic initial configuration and relaxing towards its ground state however for all compositions considered the ground state electronic structure of each alloy is found to exhibit only very weak ferromagnetism and the effect is not thought to influence their phase stability table shows the calculated equilibrium lattice constants of the phase at various ti concentrations using partially ordered ηp structures the change in lattice constant upon ti alloying is relatively small but can be related to the larger covalent radius of ti the calculated lattice constants are in good agreement with the experimental values which relate to an alloy with al ti ratio of ,"['Al', 'alloy', 'Brillouin-zone sampling', 'Cambridge Serial Total Energy Package', 'CASTEP', 'electron', 'electron–ion interactions', 'exchange correlation functional', 'ferromagnetism', 'first-principles calculations', 'generalized gradient approximation', 'ion', 'k-point spacing', 'Monkhorst-Pack scheme', 'nickel', 'PBE-GGA', 'plane wave', 'plane-wave pseudopotential DFT method', 'spin polarization', 'Ti', 'Ti alloying', 'Vanderbilt-type ultrasoft pseudopotentials', 'ηP structures']",O B I I O O O O B I I I I O O O B I O O O O B I I O O O O B I I O O B B O O O O B I I I O O O O O O O O O O O O O B I I O O O O B I I O O O O O O O O O O O O O O O O O O O O O O O B O B O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O B I O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O 
3,3,microhardness can be related to other macroscopic mechanical properties such as yield stress and elastic modulus both derived from compression testing for work hardened metals tabor derived direct proportionality between hardness and compressive yield stress however it was soon realized that relationship only applies to materials that exhibit full plasticity deviations from this relationship have been reported for number of metals glasses and polymers where the elastic strains are non negligible hence the different expressions describing the correlation of hardness with conventional macroscopic mechanical properties rely on the validity of the above mentioned elasto plastic models in this way hardness and yield stress no longer hold direct proportionality but their relationship depends on the specific material properties such as ratio and elastic modulus it has been shown that these elasto plastic models not only satisfactorily explain an ratio of for number of polyethylene materials of different nature but also theoretically account for the range of ratios experimentally determined ,"['compression testing', 'derived a direct proportionality', 'Deviations from this relationship', 'glasses', 'hold direct proportionality but their relationship', 'materials that exhibit full plasticity', 'Microhardness', 'polyethylene materials', 'polymers where the elastic strains', 'specific material properties,', 'the different expressions describing the correlation of hardness with conventional macroscopic mechanical properties', 'work-hardened metals']",B O O O O O O O O O O O O O O O O O O B I O B I I O O O O O O O O O O O O O O O O O O O O B I I I I B I I I O O O O O O O B O B I I I I O O O O B I I I I I I I I I I I I O O O O O O O O O O O O O O O O O O O O B I I I I I O O O B I I O O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O O O O O O O O O O O 
4,4,we consider finite time future or big rip singularities which may occur even when strong energy condition is not violated but equation of state parameter is time dependent recently example of such singularity has been presented by barrow we found another example of it taking into account back reaction of conformal quantum fields near singularity it is shown explicitly that quantum effects may delay make the singularity it is argued that if the evolution to singularity is realistic due to quantum effects the universe may end up in de sitter phase before scale factor blows up this picture is generalized for braneworld where sudden singularity may occur on the brane with qualitatively similar conclusions ,"['back reaction of conformal quantum fields near singularity', 'brane', 'braneworld', 'evolution to singularity', 'example of such singularity', 'finite-time, future (sudden or Big Rip type) singularities', 'qualitatively similar conclusions', 'quantum effects', 'scale factor blows up', 'singularity', 'strong energy condition', 'sudden singularity', 'the universe may end up in de Sitter phase', 'we found another example of it']",O O B I O O O O O O O O O O B I I O O O O O O O O O O O O B I I I O O O O O O O O O O O O O O B I I I I I I I O O O O O B I O O O O B O O O O O O B I I O O O O O O O O O O O O O O O O B I I I O O O O O B O B I O O O O B O B I I 
5,5,nuclear theory devoted major efforts since decades to describe thermalization in nuclear reactions predominantly using semi classical in line with similar problems in quantum there were attempts to develop improved molecular dynamics methods combining quantum features with semi classical treatment of dynamical still no clear cut quantum approach is readily available yet in spite of numerous formal attempts the field of clusters and nano structures is far younger but fast developing in relation to the ongoing developments of lasers and imaging techniques semiclassical approaches were also considered in the field to include some dynamical and could qualitatively describe dynamical processes but such approaches are bound to simple metals with sufficiently delocalized wave functions and thus smooth potentials justifying semiclassical approximations the case of organic systems in particular the much celebrated c60 cannot be treated this way semi classical and even classical approaches can be used at very high excitations such as delivered by very intense laser in such cases the system is blown up and details of its quantum mechanical features do not matter anymore but for less violent scenarios quantum shell effects cannot be ,"['C60', 'combining quantum features', 'field of clusters and nano structures', 'imaging techniques', 'improved molecular dynamics methods', 'lasers', 'nuclear reactions', 'Nuclear theory', 'organic systems', 'qualitatively describe dynamical processes.', 'quantum approach', 'quantum liquids', 'quantum mechanical features', 'quantum shell effects', 'semi-classical methods', 'semi classical treatment of dynamical correlations', 'simple metals', 'simple metals with sufficiently delocalized wave functions', 'thermalization', 'very intense laser pulses']",B I O O O O O O O B O O O O O O O O O O O O O O O O O O O B I I I B I I O O O O O O O O O O O O O O O O O O O O O O O B I I I I I O O O O O O O O O O O O O B O B I O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O O O O O O O O O O O O B I O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
6,6,we use open and close aperture scan experiments in analogy to the saturation absorption work discussed earlier in water to respectively measure the and n2 for series of primary alcohols with the help of 1560nm femtosecond laser pulses however with the important inclusion of an optical chopper the vibrational combination states of the alcohols are coupled by the femtosecond laser pulses at 1560nm these couplings result in the absorption of 1560nm and the excited molecules undergo relaxation through non radiative processes which gives rise to transient thermal effects these transient thermal effects are related to the pure optical nonlinearity of the samples and can be measured as change in their n2 values the transient thermal effects of individual pulses accumulate in case of high repetition rate lasers to produce cumulative thermal effect at longer timescales we measure this cumulative thermal effect with the mode mismatched two color pump probe ,"['1560nm femtosecond laser pulses', 'absorption', 'alcohols', 'aperture Z-scan experiments', 'cumulative thermal effect', 'femtosecond laser pulses at 1560nm', 'high repetition-rate lasers', 'measure this cumulative thermal effect', 'mode-mismatched two-color pump–probe experiment', 'molecules', 'non-radiative processes', 'optical-chopper', 'primary alcohols', 'pure optical nonlinearity', 'saturation absorption', 'transient thermal effects', 'vibrational combination states', 'water']",O O O O O O O O O O O O O B O O O O B O O O O O O O O O O B O O O O B I I I O O O O O O O B I O B I I O O O O O O O B I I I I O O O O O O O O O O O B O O O B I I O O O O B I I O O O O O O O O B I I O O O O O O O O O O O O O O O O O O O O O O O O B I I I O O B I I O O O O O O O O O O O O O O O O O 
7,7,the systems in which the stern gerlach force is most prominent are those with high electromagnetic field gradient section considers the implications of the coupling between the spin of classical electron and the rapidly varying electromagnetic field produced by laser driven plasma wave sufficiently short high intensity laser pulses can form longitudinal waves within the electron density of plasma these density waves propagate with speed comparable to the group speed of the laser pulse not all plasma electrons form this wave however some of the electrons are caught up in the wave and accelerated by its high fields the wave eventually collapses as these electrons damp the wave wave the extremely high electric field gradient of plasma wave near wavebreaking provides an excellent theoretical testing ground for the effects of stern gerlach type contributions to the trajectory of test ,"['density waves', 'electromagnetic field', 'electromagnetic field gradient', 'electron', 'electrons', 'electrons damp the wave', 'high electric field gradient of a plasma wave', 'high-intensity laser pulses', 'laser', 'laser-driven plasma wave', 'laser pulse', 'longitudinal waves', 'plasma', 'plasma electrons', 'Stern–Gerlach force', 'Stern–Gerlach-type contributions', 'wave ‘breaks’']",O O O O O B I I O O O O O O O B I O O O O O O O O O O O O O B O O O O O O O O B O B O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I O O O O O 
8,8,in summary we have developed technique for site specific nanowire size reduction by fib thinning transmission electron microscope images of thinned tungsten composite nanowire with width reduced from 80 to 20nm show uniform shrinking along the length of the wire and high resolution images show no obvious changes of the morphology after thinning the critical current density of the as deposited wire and one thinned to width of 50nm is and cm2 at respectively suggesting insignificant modulation of the electrical properties during thinning these results suggest that fib milling is potential approach for controllable size reduction with high resolution towards the observation of size and quantum effects as well as for construction of 3d superconducting ,"['3D superconducting nanodevices', 'as-deposited wire', 'construction of 3D superconducting nanodevices', 'controllable size reduction with high resolution towards the observation of size- and quantum effects', 'FIB-milling', 'FIB thinning', 'high resolution images', 'modulation of the electrical properties', 'site-specific nanowire size reduction', 'thinned tungsten composite nanowire', 'thinning', 'Transmission electron microscope images', 'uniform shrinking', 'wire']",O O O O O O O B I I I I O B I B I I I O B I I I O O O O O O O O B I O O O O O B O B I I O O O O O O O O B O O O O O O B I I O O O O O O O O O O O O O O B I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
9,9,under these experimental conditions the observed dynamics has to occur where the probe laser induces the reactions resulting in further ionization the two step decay model was applied to explain the above mentioned fragmentation of dcpd to cpd shown in figure 8a the fitting of the rise and decay components of the transients were done by programming using the curve fitting levenberg marquardt algorithm the best fit decay constants for the biexponential decay components of ion signal is and while that for ion signal is and respectively these decay constants conform to the previously reported time constants of norbornene and norbornadiene the transients of the reaction fragment are sufficiently different from that of the parent ion indicating that we are studying the distinct dynamics of the neutrals and not that of the parent ion fragmentation applying laser control principles under such experimental circumstances also confirms that we are controlling the product yield of resulting from the photochemical reaction of ,"['Applying laser control principles', 'best fit decay constants', 'biexponential decay components', 'C10H12+', 'C10H12+ ion signal', 'C5H6+', 'C5H6+ ion signal', 'controlling the product yield of C5H6+', 'CPD', 'curve fitting Levenberg–Marquardt algorithm', 'DCPD', 'decay constants', 'distinct dynamics of the neutrals', 'fragmentation of DCPD to CPD', 'further ionization', 'laser control principles', 'Matlab® programming', 'norbornadiene', 'norbornene', 'observed dynamics', 'parent ion', 'parent ion fragmentation', 'photochemical reaction of DCPD', 'probe laser', 'reactions', 'rise and decay components', 'transients', 'two-step decay model', 'τ1=35fs', 'τ1=36fs', 'τ2=240fs', 'τ2=280fs']",O O O O O B I O O O O O B I O O B O O B I O B I I I O O O O O O O O O B O B O O O O O O O O B I I I O O B O O O O O O B I I I I O B I I I O O B I I O O O O O O O O O O O O O O O O O O O O O O O O B O B O O O O O O O O O O O O O B I O O O O O O B I I I I O O O O O B I I B I I I O O O O O O O O O O O O O O O O O O O O 
