,text,keywords
0,severalinorganicflocculatingagentsincludingfeso4fecl3andanorganiccoagulantaidpamwereusedtotreatthewastewaterfromdomesticanimaandpoultrybreedinginthispapertheidealoperatingconditionswereattainedbysinglefactorexperimentandorthogonaldesignexperimentandtheidealoperatingconditionsarefollowsthedoseoffeso4andpamisandrespectivelywhenkeepingtheph10andthecorrespondingremovalrateisandforcodandturbiditybasedontheexperimentalresultsthispaperanalyzesthemainfactorsthataffectwastewaterflocculationtreatment,"['Al2(SO4)3,', 'analyzes the main factors', 'COD', 'FeCl3', 'FeSO4', 'inorganic flocculating agents', 'organic coagulant aid', 'orthogonal design experiment', 'PAM', 'removal rate', 'single factor experiment', 'treat the wastewater', 'wastewater flocculation', 'wastewater flocculation treatment']"
1,videooculographyisoneofeyemovementmeasurementmethodskeyproblemofvogistoaccuratelyestimatethepupilcenterthenpupillocationmethodbasedonmorphologyandcannyalgorithmwasproposedforwifibasedvogsystemwhichwasdevelopedourlatestworkmoreoverhealthyvolunteerwasintroducedtodosinusoidaltrackingtesttoevaluatethepupillocationmethodexperimentalresultsshowedthatthemethodcouldwelltraceeyemovementandmeettheanticipatedresultswithstimulation,"['accurately estimate the pupil center', 'Canny algorithm', 'evaluate the pupil location method', 'eye movement measurement', 'eye movement measurement methods', 'healthy volunteer', 'morphology', 'pupil location method', 'sinusoidal tracking test', 'stimulation', 'trace eye movement', 'Video-oculography', 'VOG', 'WIFI-based VOG system']"
2,thefirstprinciplescalculationsareperformedusingthecambridgeserialtotalenergypackagewhichimplementstheplanewavepseudopotentialdftmethodtheexchangecorrelationfunctionalisapproximatedusingthegeneralizedgradientapproximationandtheelectronioninteractionsaredescribedbyvanderbilttypeultrasoftpseudopotentialstheplanewavebasissetistruncatedatcutoffof400evandthebrillouinzonesamplingwasperformedusingthemonkhorstpackschemewithpointspacinginreciprocalspaceoftestsshowthatthesecomputationalparametersgiveresultsthataresufficientlyaccurateforpresentpurposestheferromagnetismofnickelisaccountedforbyperformingallcalculationsusingspinpolarizationstartingatferromagneticinitialconfigurationandrelaxingtowardsitsgroundstatehoweverforallcompositionsconsideredthegroundstateelectronicstructureofeachalloyisfoundtoexhibitonlyveryweakferromagnetismandtheeffectisnotthoughttoinfluencetheirphasestabilitytableshowsthecalculatedequilibriumlatticeconstantsofthephaseatvariousticoncentrationsusingpartiallyorderedηpstructuresthechangeinlatticeconstantupontialloyingisrelativelysmallbutcanberelatedtothelargercovalentradiusoftithecalculatedlatticeconstantsareingoodagreementwiththeexperimentalvalueswhichrelatetoanalloywithaltiratioof,"['Al', 'alloy', 'Brillouin-zone sampling', 'Cambridge Serial Total Energy Package', 'CASTEP', 'electron', 'electron–ion interactions', 'exchange correlation functional', 'ferromagnetism', 'first-principles calculations', 'generalized gradient approximation', 'ion', 'k-point spacing', 'Monkhorst-Pack scheme', 'nickel', 'PBE-GGA', 'plane wave', 'plane-wave pseudopotential DFT method', 'spin polarization', 'Ti', 'Ti alloying', 'Vanderbilt-type ultrasoft pseudopotentials', 'ηP structures']"
3,microhardnesscanberelatedtoothermacroscopicmechanicalpropertiessuchasyieldstressandelasticmodulusbothderivedfromcompressiontestingforworkhardenedmetalstaborderiveddirectproportionalitybetweenhardnessandcompressiveyieldstresshoweveritwassoonrealizedthatrelationshiponlyappliestomaterialsthatexhibitfullplasticitydeviationsfromthisrelationshiphavebeenreportedfornumberofmetalsglassesandpolymerswheretheelasticstrainsarenonnegligiblehencethedifferentexpressionsdescribingthecorrelationofhardnesswithconventionalmacroscopicmechanicalpropertiesrelyonthevalidityoftheabovementionedelastoplasticmodelsinthiswayhardnessandyieldstressnolongerholddirectproportionalitybuttheirrelationshipdependsonthespecificmaterialpropertiessuchasratioandelasticmodulusithasbeenshownthattheseelastoplasticmodelsnotonlysatisfactorilyexplainanratiooffornumberofpolyethylenematerialsofdifferentnaturebutalsotheoreticallyaccountfortherangeofratiosexperimentallydetermined,"['compression testing', 'derived a direct proportionality', 'Deviations from this relationship', 'glasses', 'hold direct proportionality but their relationship', 'materials that exhibit full plasticity', 'Microhardness', 'polyethylene materials', 'polymers where the elastic strains', 'specific material properties,', 'the different expressions describing the correlation of hardness with conventional macroscopic mechanical properties', 'work-hardened metals']"
4,weconsiderfinitetimefutureorbigripsingularitieswhichmayoccurevenwhenstrongenergyconditionisnotviolatedbutequationofstateparameteristimedependentrecentlyexampleofsuchsingularityhasbeenpresentedbybarrowwefoundanotherexampleofittakingintoaccountbackreactionofconformalquantumfieldsnearsingularityitisshownexplicitlythatquantumeffectsmaydelaymakethesingularityitisarguedthatiftheevolutiontosingularityisrealisticduetoquantumeffectstheuniversemayendupindesitterphasebeforescalefactorblowsupthispictureisgeneralizedforbraneworldwheresuddensingularitymayoccuronthebranewithqualitativelysimilarconclusions,"['back reaction of conformal quantum fields near singularity', 'brane', 'braneworld', 'evolution to singularity', 'example of such singularity', 'finite-time, future (sudden or Big Rip type) singularities', 'qualitatively similar conclusions', 'quantum effects', 'scale factor blows up', 'singularity', 'strong energy condition', 'sudden singularity', 'the universe may end up in de Sitter phase', 'we found another example of it']"
5,nucleartheorydevotedmajoreffortssincedecadestodescribethermalizationinnuclearreactionspredominantlyusingsemiclassicalinlinewithsimilarproblemsinquantumtherewereattemptstodevelopimprovedmoleculardynamicsmethodscombiningquantumfeatureswithsemiclassicaltreatmentofdynamicalstillnoclearcutquantumapproachisreadilyavailableyetinspiteofnumerousformalattemptsthefieldofclustersandnanostructuresisfaryoungerbutfastdevelopinginrelationtotheongoingdevelopmentsoflasersandimagingtechniquessemiclassicalapproacheswerealsoconsideredinthefieldtoincludesomedynamicalandcouldqualitativelydescribedynamicalprocessesbutsuchapproachesareboundtosimplemetalswithsufficientlydelocalizedwavefunctionsandthussmoothpotentialsjustifyingsemiclassicalapproximationsthecaseoforganicsystemsinparticularthemuchcelebratedc60cannotbetreatedthiswaysemiclassicalandevenclassicalapproachescanbeusedatveryhighexcitationssuchasdeliveredbyveryintenselaserinsuchcasesthesystemisblownupanddetailsofitsquantummechanicalfeaturesdonotmatteranymorebutforlessviolentscenariosquantumshelleffectscannotbe,"['C60', 'combining quantum features', 'field of clusters and nano structures', 'imaging techniques', 'improved molecular dynamics methods', 'lasers', 'nuclear reactions', 'Nuclear theory', 'organic systems', 'qualitatively describe dynamical processes.', 'quantum approach', 'quantum liquids', 'quantum mechanical features', 'quantum shell effects', 'semi-classical methods', 'semi classical treatment of dynamical correlations', 'simple metals', 'simple metals with sufficiently delocalized wave functions', 'thermalization', 'very intense laser pulses']"
6,weuseopenandcloseaperturescanexperimentsinanalogytothesaturationabsorptionworkdiscussedearlierinwatertorespectivelymeasuretheandn2forseriesofprimaryalcoholswiththehelpof1560nmfemtosecondlaserpulseshoweverwiththeimportantinclusionofanopticalchopperthevibrationalcombinationstatesofthealcoholsarecoupledbythefemtosecondlaserpulsesat1560nmthesecouplingsresultintheabsorptionof1560nmandtheexcitedmoleculesundergorelaxationthroughnonradiativeprocesseswhichgivesrisetotransientthermaleffectsthesetransientthermaleffectsarerelatedtothepureopticalnonlinearityofthesamplesandcanbemeasuredaschangeintheirn2valuesthetransientthermaleffectsofindividualpulsesaccumulateincaseofhighrepetitionratelaserstoproducecumulativethermaleffectatlongertimescaleswemeasurethiscumulativethermaleffectwiththemodemismatchedtwocolorpumpprobe,"['1560nm femtosecond laser pulses', 'absorption', 'alcohols', 'aperture Z-scan experiments', 'cumulative thermal effect', 'femtosecond laser pulses at 1560nm', 'high repetition-rate lasers', 'measure this cumulative thermal effect', 'mode-mismatched two-color pump–probe experiment', 'molecules', 'non-radiative processes', 'optical-chopper', 'primary alcohols', 'pure optical nonlinearity', 'saturation absorption', 'transient thermal effects', 'vibrational combination states', 'water']"
7,thesystemsinwhichthesterngerlachforceismostprominentarethosewithhighelectromagneticfieldgradientsectionconsiderstheimplicationsofthecouplingbetweenthespinofclassicalelectronandtherapidlyvaryingelectromagneticfieldproducedbylaserdrivenplasmawavesufficientlyshorthighintensitylaserpulsescanformlongitudinalwaveswithintheelectrondensityofplasmathesedensitywavespropagatewithspeedcomparabletothegroupspeedofthelaserpulsenotallplasmaelectronsformthiswavehoweversomeoftheelectronsarecaughtupinthewaveandacceleratedbyitshighfieldsthewaveeventuallycollapsesastheseelectronsdampthewavewavetheextremelyhighelectricfieldgradientofplasmawavenearwavebreakingprovidesanexcellenttheoreticaltestinggroundfortheeffectsofsterngerlachtypecontributionstothetrajectoryoftest,"['density waves', 'electromagnetic field', 'electromagnetic field gradient', 'electron', 'electrons', 'electrons damp the wave', 'high electric field gradient of a plasma wave', 'high-intensity laser pulses', 'laser', 'laser-driven plasma wave', 'laser pulse', 'longitudinal waves', 'plasma', 'plasma electrons', 'Stern–Gerlach force', 'Stern–Gerlach-type contributions', 'wave ‘breaks’']"
8,insummarywehavedevelopedtechniqueforsitespecificnanowiresizereductionbyfibthinningtransmissionelectronmicroscopeimagesofthinnedtungstencompositenanowirewithwidthreducedfrom80to20nmshowuniformshrinkingalongthelengthofthewireandhighresolutionimagesshownoobviouschangesofthemorphologyafterthinningthecriticalcurrentdensityoftheasdepositedwireandonethinnedtowidthof50nmisandcm2atrespectivelysuggestinginsignificantmodulationoftheelectricalpropertiesduringthinningtheseresultssuggestthatfibmillingispotentialapproachforcontrollablesizereductionwithhighresolutiontowardstheobservationofsizeandquantumeffectsaswellasforconstructionof3dsuperconducting,"['3D superconducting nanodevices', 'as-deposited wire', 'construction of 3D superconducting nanodevices', 'controllable size reduction with high resolution towards the observation of size- and quantum effects', 'FIB-milling', 'FIB thinning', 'high resolution images', 'modulation of the electrical properties', 'site-specific nanowire size reduction', 'thinned tungsten composite nanowire', 'thinning', 'Transmission electron microscope images', 'uniform shrinking', 'wire']"
9,undertheseexperimentalconditionstheobserveddynamicshastooccurwheretheprobelaserinducesthereactionsresultinginfurtherionizationthetwostepdecaymodelwasappliedtoexplaintheabovementionedfragmentationofdcpdtocpdshowninfigure8athefittingoftheriseanddecaycomponentsofthetransientsweredonebyprogrammingusingthecurvefittinglevenbergmarquardtalgorithmthebestfitdecayconstantsforthebiexponentialdecaycomponentsofionsignalisandwhilethatforionsignalisandrespectivelythesedecayconstantsconformtothepreviouslyreportedtimeconstantsofnorborneneandnorbornadienethetransientsofthereactionfragmentaresufficientlydifferentfromthatoftheparentionindicatingthatwearestudyingthedistinctdynamicsoftheneutralsandnotthatoftheparentionfragmentationapplyinglasercontrolprinciplesundersuchexperimentalcircumstancesalsoconfirmsthatwearecontrollingtheproductyieldofresultingfromthephotochemicalreactionof,"['Applying laser control principles', 'best fit decay constants', 'biexponential decay components', 'C10H12+', 'C10H12+ ion signal', 'C5H6+', 'C5H6+ ion signal', 'controlling the product yield of C5H6+', 'CPD', 'curve fitting Levenberg–Marquardt algorithm', 'DCPD', 'decay constants', 'distinct dynamics of the neutrals', 'fragmentation of DCPD to CPD', 'further ionization', 'laser control principles', 'Matlab® programming', 'norbornadiene', 'norbornene', 'observed dynamics', 'parent ion', 'parent ion fragmentation', 'photochemical reaction of DCPD', 'probe laser', 'reactions', 'rise and decay components', 'transients', 'two-step decay model', 'τ1=35fs', 'τ1=36fs', 'τ2=240fs', 'τ2=280fs']"
